,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,normalized_page_rank,probability,mass_equivalent,normalized_velocity,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk,Phase Factor,,Transmission frequency,,,m,x,,y,tunneling
46,749,Jaye1222,false (human account),human,7/21/2021,https://twitter.com/Jaye1222/status/1417673584588333056,125,0,1.53E-70,3.19E-06,2,3.19E-06,4.19E-06,0.001805237,-0.249256211,0.004243651,1.22E-14,,2.35E-15,6.09E-19,4.29E-19,0.002974023,0.001805237,0.59,305.6688427,179.082829,,,7.04E-01,80,5.64E+01,56.94,28.4723399
47,689,1SweetSoldier,false (human account),human,8/15/2021,https://twitter.com/1SweetSoldier/status/1426969431809437696,124,0,1.30E-80,1.59E-05,2,1.59E-05,1.62E-05,0.003937984,-0.050350775,0.009257192,1.21E-14,,2.33E-15,6.04E-19,4.26E-19,0.004369993,0.003937984,0.59,305.6688427,179.821318,,,7.05E-01,80,5.64E+01,57.01,28.50692053
48,891,laureenrobinso1,false (human account),human,5/23/2021,https://twitter.com/laureenrobinso1/status/1396312428426764288,110,0,0.008078508,0.00367882,2,0.00367882,0.004714534,0.005716192,0.115489569,0.013437305,1.07E-14,,2.07E-15,5.36E-19,3.77E-19,0.07069516,0.005716192,0.63,305.6688427,191.223813,,,7.03E-01,80,5.63E+01,56.90,28.44932836
49,827,JackJackedMe,other,bot,7/23/2021,https://twitter.com/JackJackedMe/status/1418443715459354627,99,-1.68E-05,2.61E-96,3.19E-06,2,3.19E-06,3.64E-06,0.002292211,-0.203839815,0.005388401,9.67E-15,,1.86E-15,4.82E-19,3.40E-19,0.002184996,0.002292211,0.66,305.6688427,201.150273,,,7.05E-01,80,5.64E+01,57.09,28.54576763
50,838,BaringMyClaws,false (human account),human,7/21/2021,https://twitter.com/BaringMyClaws/status/1417987339545026561,99,-0.004862989,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,9.67E-15,,1.86E-15,4.82E-19,3.40E-19,0,0.000179254,0.66,305.6688427,201.150273,,,7.05E-01,80,5.64E+01,57.09,28.54576763
51,825,KyleJayBonnell,false (human account),human,7/22/2021,https://twitter.com/KyleJayBonnell/status/1418308262194147342,95,0,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,9.28E-15,,1.78E-15,4.63E-19,3.26E-19,0.001456664,0.00174362,0.67,305.6688427,205.333531,,,7.04E-01,80,5.63E+01,57.00,28.49914687
52,747,j_windsong,spammer,bot,10/17/2021,https://twitter.com/j_windsong/status/1449845992430444551,92,-1.88E-05,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,8.99E-15,,1.73E-15,4.48E-19,3.16E-19,0.000728332,0.001195029,0.68,305.6688427,208.619076,,,7.05E-01,80,5.64E+01,57.11,28.55428571
53,935,Vicmot,false (human account),human,7/18/2021,https://twitter.com/Vicmot/status/1416714128387887106,91,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,8.89E-15,,1.71E-15,4.43E-19,3.12E-19,0.000728332,0.001195029,0.69,305.6688427,209.78913,,,7.04E-01,80,5.63E+01,57.03,28.51655756
54,839,momJenRodriguez,other,bot,5/25/2021,https://twitter.com/momJenRodriguez/status/1397253171534311424,90,-1.88E-05,1.13E-79,2.65E-05,2,2.65E-05,3.08E-05,0.003750333,-0.067851522,0.008816074,8.79E-15,,1.69E-15,4.39E-19,3.09E-19,0.004237569,0.003750333,0.69,305.6688427,210.979095,,,7.04E-01,80,5.63E+01,57.00,28.49989749
55,927,mattlargey,false (human account),human,7/18/2021,https://twitter.com/mattlargey/status/1416860939178151938,83,0,0.003226366,0,2,0,0,0.000641167,-0.357820412,0.00150722,8.11E-15,,1.56E-15,4.04E-19,2.85E-19,0.060010463,0.000641167,0.72,305.6688427,219.646069,,,7.05E-01,80,5.64E+01,57.16,28.57782178
